Gene,Confidence,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YOL039W,0.176348,12,2506,1836,94,0.4154676258992806,0.004765687053216839,0.11320754716981132,0.5771533855366191,0.42284661446338095
YJL068C,0.176348,12,2505,1837,94,0.41569244604316546,0.004767580452920143,0.11320754716981132,0.5769230769230769,0.4230769230769231
YKL191W,0.176348,12,2504,1838,94,0.4159172661870504,0.0047694753577106515,0.11320754716981132,0.5766927683095348,0.42330723169046525
YOR094W,0.176348,12,2503,1839,94,0.41614208633093525,0.004771371769383698,0.11320754716981132,0.5764624596959926,0.42353754030400736
YER099C,0.176348,12,2502,1840,94,0.41636690647482016,0.00477326968973747,0.11320754716981132,0.5762321510824505,0.42376784891754954
YFR030W,0.176348,12,2501,1841,94,0.416591726618705,0.00477516912057302,0.11320754716981132,0.5760018424689083,0.42399815753109166
YMR137C,0.175788,12,2500,1842,94,0.41681654676258995,0.004777070063694267,0.11320754716981132,0.5757715338553662,0.42422846614463383
YOL012C,0.175067,12,2499,1843,94,0.4170413669064748,0.0047789725209080045,0.11320754716981132,0.575541225241824,0.42445877475817595
YLR044C,0.175067,12,2498,1844,94,0.4172661870503597,0.004780876494023904,0.11320754716981132,0.5753109166282819,0.4246890833717181
YBR088C,0.175067,12,2497,1845,94,0.4174910071942446,0.004782781984854523,0.11320754716981132,0.5750806080147397,0.42491939198526024
YOR133W,0.175067,12,2496,1846,94,0.4177158273381295,0.004784688995215311,0.11320754716981132,0.5748502994011976,0.4251497005988024
YLR319C,0.175067,12,2495,1847,94,0.41794064748201437,0.004786597526924611,0.11320754716981132,0.5746199907876555,0.42538000921234453
YJL030W,0.175051,12,2494,1848,94,0.4181654676258993,0.004788507581803671,0.11320754716981132,0.5743896821741133,0.4256103178258867
YCR094W,0.174303,12,2493,1849,94,0.41839028776978415,0.004790419161676647,0.11320754716981132,0.5741593735605711,0.4258406264394288
YDL148C,0.174303,12,2492,1850,94,0.41861510791366907,0.004792332268370607,0.11320754716981132,0.573929064947029,0.426070935052971
YMR173W,0.174303,12,2491,1851,94,0.41883992805755393,0.004794246903715541,0.11320754716981132,0.5736987563334869,0.4263012436665131
YPR165W,0.174303,12,2490,1852,94,0.41906474820143885,0.004796163069544364,0.11320754716981132,0.5734684477199448,0.4265315522800553
YML103C,0.174303,12,2489,1853,94,0.4192895683453237,0.004798080767692923,0.11320754716981132,0.5732381391064025,0.4267618608935974
YER020W,0.174303,12,2488,1854,94,0.41951438848920863,0.0048,0.11320754716981132,0.5730078304928604,0.4269921695071396
YBL040C,0.174303,12,2487,1855,94,0.41973920863309355,0.004801920768307323,0.11320754716981132,0.5727775218793183,0.4272224781206817
YLR305C,0.174303,12,2486,1856,94,0.4199640287769784,0.004803843074459567,0.11320754716981132,0.5725472132657762,0.4274527867342239
YMR212C,0.174303,12,2485,1857,94,0.42018884892086333,0.004805766920304365,0.11320754716981132,0.572316904652234,0.427683095347766
YHR113W,0.174303,12,2484,1858,94,0.4204136690647482,0.004807692307692308,0.11320754716981132,0.5720865960386918,0.42791340396130817
YJR010W,0.174303,12,2483,1859,94,0.4206384892086331,0.004809619238476954,0.11320754716981132,0.5718562874251497,0.4281437125748503
YDR096W,0.174303,12,2482,1860,94,0.420863309352518,0.0048115477145148355,0.11320754716981132,0.5716259788116076,0.42837402118839246
YDR335W,0.17428,12,2481,1861,94,0.4210881294964029,0.0048134777376654635,0.11320754716981132,0.5713956701980654,0.4286043298019346
YEL053C,0.173942,12,2480,1862,94,0.42131294964028776,0.004815409309791332,0.11320754716981132,0.5711653615845232,0.42883463841547675
YPL259C,0.173942,12,2479,1863,94,0.4215377697841727,0.004817342432757929,0.11320754716981132,0.5709350529709811,0.4290649470290189
YIL097W,0.172669,12,2478,1864,94,0.42176258992805754,0.004819277108433735,0.11320754716981132,0.570704744357439,0.42929525564256105
YOR138C,0.172669,12,2477,1865,94,0.42198741007194246,0.004821213338690237,0.11320754716981132,0.5704744357438968,0.42952556425610317
YAL015C,0.172669,12,2476,1866,94,0.4222122302158273,0.00482315112540193,0.11320754716981132,0.5702441271303547,0.42975587286964534
YGR180C,0.172669,12,2475,1867,94,0.42243705035971224,0.0048250904704463205,0.11320754716981132,0.5700138185168125,0.42998618148318746
YHR139C,0.172669,12,2474,1868,94,0.4226618705035971,0.004827031375703942,0.11320754716981132,0.5697835099032704,0.43021649009672963
YFL010W-A,0.172669,12,2473,1869,94,0.422886690647482,0.00482897384305835,0.11320754716981132,0.5695532012897282,0.43044679871027175
YFR047C,0.172669,12,2472,1870,94,0.4231115107913669,0.004830917874396135,0.11320754716981132,0.5693228926761861,0.4306771073238139
YJL056C,0.172669,12,2471,1871,94,0.4233363309352518,0.004832863471606927,0.11320754716981132,0.569092584062644,0.43090741593735604
YKL214C,0.172669,12,2470,1872,94,0.42356115107913667,0.004834810636583401,0.11320754716981132,0.5688622754491018,0.4311377245508982
YIL099W,0.172669,12,2469,1873,94,0.4237859712230216,0.0048367593712212815,0.11320754716981132,0.5686319668355596,0.43136803316444033
YGL004C,0.172669,12,2468,1874,94,0.42401079136690645,0.004838709677419355,0.11320754716981132,0.5684016582220175,0.4315983417779825
YMR162C,0.172669,12,2467,1875,94,0.42423561151079137,0.004840661557079467,0.11320754716981132,0.5681713496084754,0.4318286503915246
YDR092W,0.172669,12,2466,1876,94,0.4244604316546763,0.004842615012106538,0.11320754716981132,0.5679410409949333,0.4320589590050668
YGL222C,0.172669,12,2465,1877,94,0.42468525179856115,0.004844570044408559,0.11320754716981132,0.567710732381391,0.4322892676186089
YHR157W,0.172669,12,2464,1878,94,0.42491007194244607,0.004846526655896607,0.11320754716981132,0.5674804237678489,0.4325195762321511
YNL099C,0.172669,12,2463,1879,94,0.42513489208633093,0.0048484848484848485,0.11320754716981132,0.5672501151543068,0.4327498848456932
YHR103W,0.172669,12,2462,1880,94,0.42535971223021585,0.004850444624090542,0.11320754716981132,0.5670198065407647,0.4329801934592354
YAL001C,0.172669,12,2461,1881,94,0.4255845323741007,0.004852405984634048,0.11320754716981132,0.5667894979272224,0.4332105020727775
YNL093W,0.172669,12,2460,1882,94,0.42580935251798563,0.0048543689320388345,0.11320754716981132,0.5665591893136803,0.4334408106863197
YDL045C,0.172669,12,2459,1883,94,0.4260341726618705,0.004856333468231485,0.11320754716981132,0.5663288807001382,0.4336711192998618
YOR173W,0.172669,12,2458,1884,94,0.4262589928057554,0.004858299595141701,0.11320754716981132,0.5660985720865961,0.43390142791340397
YMR251W,0.172669,12,2457,1885,94,0.4264838129496403,0.004860267314702308,0.11320754716981132,0.5658682634730539,0.4341317365269461
YDL115C,0.172669,12,2456,1886,94,0.4267086330935252,0.004862236628849271,0.11320754716981132,0.5656379548595117,0.43436204514048826
YAL054C,0.172669,12,2455,1887,94,0.42693345323741005,0.004864207539521687,0.11320754716981132,0.5654076462459696,0.4345923537540304
YKR095W-A,0.172669,12,2454,1888,94,0.427158273381295,0.004866180048661801,0.11320754716981132,0.5651773376324275,0.43482266236757255
YPR036W-A,0.172669,12,2453,1889,94,0.42738309352517984,0.00486815415821501,0.11320754716981132,0.5649470290188853,0.4350529709811147
YCL005W-A,0.172669,12,2452,1890,94,0.42760791366906475,0.00487012987012987,0.11320754716981132,0.5647167204053432,0.43528327959465685
YJL205C,0.172669,12,2451,1891,94,0.4278327338129496,0.0048721071863581,0.11320754716981132,0.564486411791801,0.43551358820819897
YKL024C,0.172669,12,2450,1892,94,0.42805755395683454,0.00487408610885459,0.11320754716981132,0.5642561031782589,0.43574389682174114
YDR256C,0.172669,12,2449,1893,94,0.4282823741007194,0.004876066639577408,0.11320754716981132,0.5640257945647167,0.43597420543528326
