Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/CE_OnlyPos_ps/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/CE_OnlyPos_ps/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 115.32132309675217
Time for 100 Batches: 0.3756617546081543
100 Batch Cumulative Loss: 122.1368288397789
Time for 100 Batches: 0.38008314768473306
100 Batch Cumulative Loss: 118.73055893182755
Time for 100 Batches: 0.3784951647122701
100 Batch Cumulative Loss: 114.63001352548599
Time for 100 Batches: 0.376002824306488
100 Batch Cumulative Loss: 134.10196995735168
Time for 100 Batches: 0.37379814783732096
100 Batch Cumulative Loss: 118.82292890548706
Time for 100 Batches: 0.3778350313504537
100 Batch Cumulative Loss: 119.28424400091171
Time for 100 Batches: 0.37857476870218915
100 Batch Cumulative Loss: 117.55083930492401
Time for 100 Batches: 0.37671111822128295
100 Batch Cumulative Loss: 117.04637044668198
Time for 100 Batches: 0.3769937554995219
100 Batch Cumulative Loss: 115.57372677326202
Time for 100 Batches: 0.376933228969574
100 Batch Cumulative Loss: 112.85778093338013
Time for 100 Batches: 0.3725305755933126
100 Batch Cumulative Loss: 122.85996800661087
Time for 100 Batches: 0.3774324337641398
100 Batch Cumulative Loss: 120.5532518029213
Time for 100 Batches: 0.37975013256073
100 Batch Cumulative Loss: 117.26614183187485
Time for 100 Batches: 0.3739365061124166
100 Batch Cumulative Loss: 114.05902588367462
Time for 100 Batches: 0.3765818079312642
100 Batch Cumulative Loss: 114.45874309539795
Time for 100 Batches: 0.37989304463068646
100 Batch Cumulative Loss: 114.51421731710434
Time for 100 Batches: 0.37597158749898274
100 Batch Cumulative Loss: 126.02862900495529
Time for 100 Batches: 0.37828763723373415
100 Batch Cumulative Loss: 115.24457889795303
Time for 100 Batches: 0.37081300020217894
100 Batch Cumulative Loss: 120.67029213905334
Time for 100 Batches: 0.3790066679318746
100 Batch Cumulative Loss: 112.02936208248138
Time for 100 Batches: 0.370241900285085
100 Batch Cumulative Loss: 113.8206696510315
Time for 100 Batches: 0.37460480133692425
100 Batch Cumulative Loss: 115.28334200382233
Time for 100 Batches: 0.37484855254491173
100 Batch Cumulative Loss: 117.72712767124176
Time for 100 Batches: 0.37545686960220337
100 Batch Cumulative Loss: 120.84896630048752
Time for 100 Batches: 0.37452796697616575
100 Batch Cumulative Loss: 117.65746456384659
Time for 100 Batches: 0.3716531157493591
100 Batch Cumulative Loss: 114.74711257219315
Time for 100 Batches: 0.37648757298787433
100 Batch Cumulative Loss: 112.67997580766678
Time for 100 Batches: 0.3746310591697693
100 Batch Cumulative Loss: 112.3981716632843
Time for 100 Batches: 0.37878151337305704
100 Batch Cumulative Loss: 118.23590242862701
Time for 100 Batches: 0.3747848788897196
100 Batch Cumulative Loss: 107.99865835905075
Time for 100 Batches: 0.3779772679011027
100 Batch Cumulative Loss: 114.37378400564194
Time for 100 Batches: 0.37311261097590126
100 Batch Cumulative Loss: 113.32546013593674
Time for 100 Batches: 0.37608859141667683
100 Batch Cumulative Loss: 110.86345714330673
Time for 100 Batches: 0.37305617332458496
100 Batch Cumulative Loss: 122.2712150812149
Time for 100 Batches: 0.3746611992518107
100 Batch Cumulative Loss: 109.56447720527649
Time for 100 Batches: 0.36864660183588666
100 Batch Cumulative Loss: 109.9905515909195
Time for 100 Batches: 0.3749068856239319
100 Batch Cumulative Loss: 106.49908471107483
Time for 100 Batches: 0.37790303230285643
100 Batch Cumulative Loss: 106.01178300380707
Time for 100 Batches: 0.3777826189994812
100 Batch Cumulative Loss: 111.75989413261414
Time for 100 Batches: 0.3798380017280579
100 Batch Cumulative Loss: 120.19550275802612
Time for 100 Batches: 0.3714595874150594
100 Batch Cumulative Loss: 114.22345852851868
Time for 100 Batches: 0.3770199179649353
100 Batch Cumulative Loss: 109.51416236162186
Time for 100 Batches: 0.3710591197013855
100 Batch Cumulative Loss: 108.73002433776855
Time for 100 Batches: 0.3678401350975037
100 Batch Cumulative Loss: 109.50275957584381
Time for 100 Batches: 0.37712923288345335
100 Batch Cumulative Loss: 110.19273155927658
Time for 100 Batches: 0.3775590936342875
100 Batch Cumulative Loss: 108.53439730405807
Time for 100 Batches: 0.37614543437957765
100 Batch Cumulative Loss: 114.38336139917374
Time for 100 Batches: 0.3742901643117269
100 Batch Cumulative Loss: 109.3520393371582
Time for 100 Batches: 0.3756427486737569
100 Batch Cumulative Loss: 110.6549950838089
Time for 100 Batches: 0.3780582110087077
100 Batch Cumulative Loss: 105.86007326841354
