File Name,Mean,Standard Deviation
Sapra_2004_PMID_15452114\2010.Sapra04.flt.knn.avg.pcl,0.0113777629002578,0.3399769275384695
Schawalder_2004_PMID_15616569\2010.Schawalder04.filter.flt.knn.avg.div.log.pcl,0.0698787888360161,0.4616349200175776
Shakoury-Elizeh_2004_PMID_14668481\2010.ShakouryElizeh04.flt.knn.avg.pcl,0.0932086188394878,0.5098643702621494
Shapira_2004_PMID_15371544\2010.Shapira04.flt.knn.avg.pcl,0.0213354287212756,0.1542261250461488
van_Attikum_2004_PMID_15607975\2010.Ino80Arp8.pcl,0.5250571435448114,7.148847777507965
van_Attikum_2004_PMID_15607975\2010.MMSresponse.pcl,0.0526572346241965,2.7305042191506854
Aguilera_2005_PMID_15780657\GSE8900_setA_family.pcl,0.1122361311768006,0.4282682859051463
Boer_2005_PMID_15949974\2010.Boer05.filter.flt.knn.avg.div.log.pcl,0.0343955212260616,0.4847166922919629
Brauer_2005_PMID_15758028\2010.Brauer05_batch1.flt.knn.avg.pcl,0.0130307717669651,0.4483943432509639
Brauer_2005_PMID_15758028\2010.Brauer05_batch2.flt.knn.avg.pcl,0.0108702136195736,0.6939083427482255
Brem_2005_PMID_15659551\2010.Brem05_orig.flt.knn.avg.pcl,0.0129171265842144,0.203287854299599
Caba_2005_PMID_15878181\2010.Caba05.filter.flt.knn.avg.div.log.pcl,0.0618966102695612,0.484050707387476
Dion_2005_PMID_15795371\GSE2324_setA_family.pcl,0.0135862129766722,0.3582285024996898
Eriksson_2005_PMID_16199888\2010.Eriksson05.filter.flt.knn.avg.div.log.pcl,0.0318879404803036,0.6048452176678905
Gardner_2005_PMID_15797381\GSE2159_setA_family.pcl,0.0051488607750161,0.4366467030418164
Gardner_2005_PMID_15988024\GSE2329_setA_family.pcl,0.3201697074696261,0.5159880323312102
Gardner_2005_PMID_15988024\GSE2330_setA_family.pcl,0.1908671063316102,0.5616631779355082
Jansen_2005_PMID_15870473\GSE8898_setA_family.pcl,0.061514261026676,0.56403244781408
Kitagawa_2005_PMID_16377885\GSE9401_setA_family.pcl,0.0031633137161744,0.2478221408635963
Lee_2005_PMID_15989963\2010.Lee05.filter.flt.knn.avg.div.log.pcl,0.0694938570096883,0.572537147329788
Matsumoto_2005_PMID_16209719\GSE3316_setA_family.pcl,0.0206875900263231,0.5230676246166782
Penheiter_2005_PMID_16246724\GSE3200_set0_family.pcl,0.0212966297860832,0.4889630060054523
Penheiter_2005_PMID_16246724\GSE3200_set1_family.pcl,0.0602217680102041,0.5575464953226539
Rosaleny_2005_PMID_16023114\GSE2434_setA_family.pcl,0.4478546678126844,0.5430394513313703
Rudra_2005_PMID_15692568\2010.Rudra05.filter.flt.knn.avg.div.log.pcl,0.0374095413510549,0.7172331500580563
Singh_2005_PMID_16332871\GSE1311_setA_family.pcl,0.0636073724784348,0.5806881112335822
Singh_2005_PMID_16332871\GSE1312_setA_family.pcl,0.0766044618742064,0.5883433323342379
Singh_2005_PMID_16332871\GSE1313_setA_family.pcl,0.0649260525340815,0.5208690212731915
Tai_2005_PMID_15496405\2010.Tai05.filter.flt.knn.avg.div.log.pcl,0.1169792560697639,0.372505292541565
Takagi_2005_PMID_15837426\2010.Takagi05.filter.flt.knn.avg.div.log.pcl,0.4891350764862659,0.5367983545596485
Tu_2005_PMID_16254148\GSE3431_setA_family.pcl,0.0112665069527105,0.4005422193728509
