Gene,Label,Annos,Score,Background Score,Precision,Recall,False Positive Rate
YDR098C-B,-1,-/-,42.60716766119003,588.4874168783426,0.06969026548672566,0.4846153846153846,0.49748595090209996
YOR343W-A,-1,-/-,42.55406829714775,587.5131838321686,0.06965174129353234,0.4846153846153846,0.49778172138420584
YOL103W-B,-1,-/-,42.524636924266815,586.5807144790888,0.06961325966850829,0.4846153846153846,0.49807749186631173
YOR142W-A,-1,-/-,42.367515072226524,586.6640731841326,0.06957482054113749,0.4846153846153846,0.4983732623484176
YHL009W-B,-1,-/-,42.22375005483627,589.7206847667694,0.0695364238410596,0.4846153846153846,0.4986690328305235
YNL173C,-1,-/-,42.09301457181573,324.1094444617629,0.0694980694980695,0.4846153846153846,0.4989648033126294
YDR517W,-1,-/+,42.08244205638766,372.4218232408166,0.06945975744211687,0.4846153846153846,0.49926057379473526
YOR343W-B,-1,-/-,42.04594701528549,586.8463604450226,0.06942148760330578,0.4846153846153846,0.49955634427684115
YLR410W-B,-1,-/-,41.90371188521385,581.0689181238413,0.06938325991189427,0.4846153846153846,0.49985211475894703
YDR365W-B,-1,-/-,41.873625069856644,579.1075895577669,0.0693450742982939,0.4846153846153846,0.5001478852410529
YDR261W-A,-1,-/-,41.795070096850395,594.6193948239088,0.06930693069306931,0.4846153846153846,0.5004436557231589
YPR137C-A,-1,-/-,41.66815984249115,592.8402276188135,0.06926882902693787,0.4846153846153846,0.5007394262052647
YPL060C-A,-1,-/-,41.570949375629425,579.1740623861551,0.06923076923076923,0.4846153846153846,0.5010351966873706
YER137C-A,-1,-/-,41.27142724394798,585.0630631446838,0.06919275123558484,0.4846153846153846,0.5013309671694764
YLR227W-A,-1,-/-,41.10251933336258,584.0232103317976,0.06915477497255763,0.4846153846153846,0.5016267376515824
YDR034C-D,-1,-/-,40.9704404771328,576.1414371579885,0.06911684037301152,0.4846153846153846,0.5019225081336882
YOR192C-A,-1,-/-,40.60785922408104,573.4564696848392,0.06907894736842106,0.4846153846153846,0.5022182786157942
YDR098C-A,-1,-/-,40.12073716521263,567.3190867304802,0.06904109589041096,0.4846153846153846,0.5025140490979
YBL101W-A,-1,-/-,40.120441913604736,561.6861867904663,0.06900328587075576,0.4846153846153846,0.5028098195800059
YLR157C-A,-1,-/-,40.120441913604736,561.6861867904663,0.06896551724137931,0.4846153846153846,0.5031055900621118
YML045W-A,-1,-/-,40.120441913604736,561.6861867904663,0.06892778993435449,0.4846153846153846,0.5034013605442177
YOR343C-B,-1,-/-,40.120441913604736,561.6861867904663,0.06889010388190268,0.4846153846153846,0.5036971310263235
YPR036W-A,-1,-/-,40.120441913604736,561.6861867904663,0.06885245901639345,0.4846153846153846,0.5039929015084295
YGL096W,-1,-/-,37.317751705646515,378.36328161507845,0.06881485527034407,0.4846153846153846,0.5042886719905354
YBL106C,-1,-/+,36.62134222686291,379.6300335712731,0.06877729257641921,0.4846153846153846,0.5045844424726412
YDR342C,-1,-/-,35.31972677260637,387.89635736867785,0.06873977086743044,0.4846153846153846,0.5048802129547472
YLL026W,-1,-/-,34.09987875074148,327.3714860789478,0.06870229007633588,0.4846153846153846,0.505175983436853
YGR080W,-1,-/-,33.5870057195425,456.96722019836307,0.06866485013623978,0.4846153846153846,0.5054717539189589
