Gene,Label,Annos,Score,Background Score,Num pos pairs,Precision,Recall,False Positive Rate
YNL330C,-1,-/-,-525.1998660564423,-21126.47648000717,106,0.13000890471950133,0.5,0.21225287855746253
YMR168C,-1,-/-,-525.2413506507874,-20264.09804534912,106,0.1298932384341637,0.5,0.2124701281772757
YGR143W,-1,-/-,-525.3921663761139,-20269.37937772274,106,0.12977777777777777,0.5,0.21268737779708885
YGL065C,-1,-/-,-525.4561128616333,-21024.569400548935,106,0.12966252220248667,0.5,0.21290462741690203
YHR200W,-1,-/-,-525.5301263332367,-20389.032216072083,106,0.129547471162378,0.5,0.21312187703671517
YDL161W,-1,-/-,-525.5378069877625,-20705.63386464119,106,0.12943262411347517,0.5,0.21333912665652835
YDR252W,-1,-/-,-525.6093325614929,-19962.71942472458,106,0.12931798051372898,0.5,0.21355637627634153
YEL025C,0,0/0,-525.6251149773598,-32373.76174300909,424,0.12931798051372898,0.5,0.21355637627634153
YNL147W,-1,-/-,-525.6676714420319,-20090.21760749817,106,0.12920353982300886,0.5,0.21377362589615467
YCR024C-A,0,-/0,-525.6754920482635,-19154.062166452408,106,0.12920353982300886,0.5,0.21377362589615467
YFL030W,0,0/0,-525.7237867414951,-34541.38403226528,424,0.12920353982300886,0.5,0.21377362589615467
YPL160W,-1,-/-,-525.7553688287735,-20180.80699455738,106,0.1290893015030946,0.5,0.21399087551596785
YEL037C,-1,-/-,-525.7692892551422,-19243.0935921669,106,0.12897526501766785,0.5,0.21420812513578102
YGR282C,-1,0/-,-525.7881414890289,-31619.709180116653,424,0.12886142983230361,0.5,0.21442537475559417
YPL188W,-1,-/-,-525.8128237724304,-21129.83984065056,106,0.12874779541446207,0.5,0.21464262437540735
YJR058C,-1,0/-,-525.8327511548996,-32071.13390749693,424,0.12863436123348018,0.5,0.2148598739952205
YMR212C,0,-/0,-525.9534554481506,-19319.848452329636,106,0.12863436123348018,0.5,0.2148598739952205
YOR316C,-1,-/-,-525.953574180603,-19109.819906949997,106,0.12852112676056338,0.5,0.21507712361503367
YJL012C,-1,-/-,-525.98490858078,-19545.959758996964,106,0.1284080914687775,0.5,0.21529437323484685
YGL213C,-1,-/-,-526.0075914859772,-20627.690325260162,106,0.1282952548330404,0.5,0.21551162285466
YEL027W,-1,-/-,-526.0800838470459,-19346.221413612366,106,0.12818261633011413,0.5,0.21572887247447317
YLR086W,-1,-/-,-526.0892925262451,-19511.199022769928,106,0.1280701754385965,0.5,0.21594612209428635
YER072W,-1,-/-,-526.1396844387054,-19008.12800502777,106,0.12795793163891322,0.5,0.2161633717140995
YDL182W,-1,0/-,-526.1479481458664,-31447.487433999777,424,0.12784588441331,0.5,0.21638062133391267
YNL118C,-1,-/-,-526.1684272289276,-20464.60332942009,106,0.12773403324584426,0.5,0.21659787095372582
YGL142C,-1,-/-,-526.1685297489166,-19575.97314095497,106,0.12762237762237763,0.5,0.216815120573539
YGR135W,-1,-/-,-526.1938762664795,-20155.53417491913,106,0.1275109170305677,0.5,0.21703237019335217
YER165W,-1,-/-,-526.2257282733917,-20289.314785718918,106,0.1273996509598604,0.5,0.21724961981316532
YDR016C,-1,-/-,-526.266839504242,-19779.823969483376,106,0.12728857890148212,0.5,0.2174668694329785
YBR102C,-1,-/-,-526.2807469367981,-20780.88467335701,106,0.12717770034843207,0.5,0.21768411905279167
YDR223W,-1,0/-,-526.3195467591286,-32683.45869523287,424,0.12706701479547433,0.5,0.21790136867260482
YMR318C,0,0/0,-526.3651789724827,-32885.663195967674,424,0.12706701479547433,0.5,0.21790136867260482
YJL164C,-1,-/-,-526.3832893371582,-20806.22716474533,106,0.12695652173913044,0.5,0.218118618292418
