Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/OnlyPos_Unreasonable_nonRandom/Original_x_b_113x250000x53_batch50_Train_/
./Yeast Resources/Pairwise/Spell/OnlyPos_Unreasonable_nonRandom/Original_x_b_113x250000x53_batch50_Test_/
Time for 100 Batches: 0.4700169841448466
100 Batch Cumulative Loss: 467.15089106559753
Time for 100 Batches: 0.4674981951713562
100 Batch Cumulative Loss: 449.95636916160583
Time for 100 Batches: 0.4712734818458557
100 Batch Cumulative Loss: 441.59811997413635
Time for 100 Batches: 0.4742323795954386
100 Batch Cumulative Loss: 472.87994480133057
Time for 100 Batches: 0.47064295609792073
100 Batch Cumulative Loss: 450.49609541893005
Time for 100 Batches: 0.46576399405797325
100 Batch Cumulative Loss: 436.2769536972046
Time for 100 Batches: 0.4717370947202047
100 Batch Cumulative Loss: 427.9280159473419
Time for 100 Batches: 0.4690092960993449
100 Batch Cumulative Loss: 443.60215187072754
Time for 100 Batches: 0.4721566915512085
100 Batch Cumulative Loss: 469.95684146881104
Time for 100 Batches: 0.4663644075393677
100 Batch Cumulative Loss: 459.70767307281494
Time for 100 Batches: 0.47131645679473877
100 Batch Cumulative Loss: 474.5893385410309
Time for 100 Batches: 0.46493374903996787
100 Batch Cumulative Loss: 422.0249466896057
Time for 100 Batches: 0.46932014226913454
100 Batch Cumulative Loss: 413.46727108955383
Time for 100 Batches: 0.4689733942349752
100 Batch Cumulative Loss: 479.45416140556335
Time for 100 Batches: 0.4681340257326762
100 Batch Cumulative Loss: 432.3241033554077
Time for 100 Batches: 0.4702230890591939
100 Batch Cumulative Loss: 436.78659081459045
Time for 100 Batches: 0.4679229537645976
100 Batch Cumulative Loss: 426.478474855423
Time for 100 Batches: 0.47247202396392823
100 Batch Cumulative Loss: 461.9694039821625
Time for 100 Batches: 0.4647878368695577
100 Batch Cumulative Loss: 490.49639654159546
Time for 100 Batches: 0.4705272912979126
100 Batch Cumulative Loss: 433.6940448284149
Time for 100 Batches: 0.4689461867014567
100 Batch Cumulative Loss: 439.9461658000946
Time for 100 Batches: 0.47075722614924115
100 Batch Cumulative Loss: 437.426167011261
Time for 100 Batches: 0.4740203301111857
100 Batch Cumulative Loss: 477.6968283653259
Time for 100 Batches: 0.4696801463762919
100 Batch Cumulative Loss: 429.61661100387573
Time for 100 Batches: 0.4750324289004008
100 Batch Cumulative Loss: 460.24964690208435
Time for 100 Batches: 0.4724269509315491
100 Batch Cumulative Loss: 429.6088287830353
Time for 100 Batches: 0.46672687530517576
100 Batch Cumulative Loss: 428.73271226882935
Time for 100 Batches: 0.4696311275164286
100 Batch Cumulative Loss: 427.3702383041382
Time for 100 Batches: 0.47097750107447306
100 Batch Cumulative Loss: 452.32804441452026
Time for 100 Batches: 0.46844555139541627
100 Batch Cumulative Loss: 439.2019519805908
Time for 100 Batches: 0.4697102904319763
100 Batch Cumulative Loss: 422.02131700515747
Time for 100 Batches: 0.47747098207473754
100 Batch Cumulative Loss: 423.9457848072052
Time for 100 Batches: 0.46963868141174314
100 Batch Cumulative Loss: 446.08533811569214
Time for 100 Batches: 0.4676089406013489
100 Batch Cumulative Loss: 431.7884793281555
Time for 100 Batches: 0.46907127698262535
100 Batch Cumulative Loss: 476.0433621406555
Time for 100 Batches: 0.46972997188568116
100 Batch Cumulative Loss: 539.3994669914246
Time for 100 Batches: 0.46975842316945393
100 Batch Cumulative Loss: 443.9708535671234
Time for 100 Batches: 0.4716974139213562
100 Batch Cumulative Loss: 411.7968668937683
Time for 100 Batches: 0.4695162216822306
100 Batch Cumulative Loss: 397.8366708755493
Time for 100 Batches: 0.473648997147878
100 Batch Cumulative Loss: 410.1205403804779
Time for 100 Batches: 0.46716854969660443
100 Batch Cumulative Loss: 431.7630808353424
Time for 100 Batches: 0.47189347743988036
100 Batch Cumulative Loss: 506.74903631210327
Time for 100 Batches: 0.47333406607309975
100 Batch Cumulative Loss: 408.5041972398758
Time for 100 Batches: 0.47289462089538575
100 Batch Cumulative Loss: 429.3944034576416
Time for 100 Batches: 0.47200658718744914
100 Batch Cumulative Loss: 500.75397062301636
Time for 100 Batches: 0.4699554642041524
100 Batch Cumulative Loss: 436.99503469467163
Time for 100 Batches: 0.47252302169799804
100 Batch Cumulative Loss: 403.7282645702362
Time for 100 Batches: 0.47237858374913533
100 Batch Cumulative Loss: 409.92594289779663
Time for 100 Batches: 0.47169811725616456
100 Batch Cumulative Loss: 410.88663816452026
Time for 100 Batches: 0.47400727272033694
100 Batch Cumulative Loss: 406.10968685150146
Time for 100 Batches: 0.4771501024564107
100 Batch Cumulative Loss: 405.10794711112976
Time for 100 Batches: 0.47117409308751423
100 Batch Cumulative Loss: 390.7109191417694
Time for 100 Batches: 0.47510284980138145
100 Batch Cumulative Loss: 405.77768540382385
Time for 100 Batches: 0.4786977171897888
100 Batch Cumulative Loss: 402.5741443634033
Time for 100 Batches: 0.4787782112757365
100 Batch Cumulative Loss: 444.650767326355
Time for 100 Batches: 0.47230225006739296
