GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = None;NES*_neg=None)),Leading-edge subset
GO:0007049,cell cycle,1.0164556962025317,0.0,0.9999999999999849,YFL039C;YOR060C
GO:0000278,mitotic cell cycle,1.0377358490566033,0.425,0.9999999999999889,YFL039C
GO:0061640,cytoskeleton-dependent cytokinesis,1.194444444444444,0.526,1.000000000000004,YFL039C
GO:0000281,mitotic cytokinesis,1.197183098591549,0.548,1.0000000000000249,YFL039C
GO:0030010,establishment of cell polarity,1.2222222222222219,0.256,1.000000000000022,YFL039C
GO:0006979,response to oxidative stress,1.1217391304347821,0.541,0.9999999999999964,YFL039C
GO:0022402,cell cycle process,1.0216383307573422,0.335,0.9999999999999891,YFL039C
GO:0016070,RNA metabolic process,1.0095307917888563,0.0,1.0000000000000073,YBL080C;YDR339C
GO:0034470,ncRNA processing,1.0345679012345679,0.0,0.9999999999999802,YDR339C
GO:0016570,histone modification,1.1129032258064515,0.0,0.9999999999999996,YFL039C
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.3043478260869565,0.784,0.9999999999999837,YDR339C
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.1521739130434783,0.733,0.9999999999999875,YDR339C
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.1772151898734178,0.79,1.0000000000000009,YDR339C
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.4516129032258063,0.0,0.9999999999999826,YDR339C
GO:0000478,endonucleolytic cleavage involved in rRNA processing,1.3043478260869565,0.8,0.9999999999999837,YDR339C
GO:0000469,cleavage involved in rRNA processing,1.1971830985915493,0.0,1.000000000000025,YDR339C
GO:0000460,maturation of 5.8S rRNA,1.1772151898734178,0.781,1.0000000000000009,YDR339C
GO:0030490,maturation of SSU-rRNA,1.1333333333333333,0.0,0.9999999999999967,YDR339C
GO:0000967,rRNA 5'-end processing,1.5833333333333335,0.803,1.0000000000000109,YDR339C
GO:0090501,RNA phosphodiester bond hydrolysis,1.0765027322404372,0.0,0.9999999999999959,YDR339C
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.6666666666666667,0.726,0.9999999999999881,YDR339C
GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic",1.1085271317829457,0.555,1.0000000000000164,YDR339C
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.7000000000000002,0.549,0.9999999999999829,YDR339C
GO:0006259,DNA metabolic process,1.0243902439024395,0.318,1.0000000000000153,YFL039C;YOR060C
GO:0022414,reproductive process,1.033653846153847,0.418,1.0000000000000138,YFL039C
GO:0019953,sexual reproduction,1.0614035087719291,0.458,0.9999999999999896,YFL039C
GO:0003006,developmental process involved in reproduction,1.0952380952380953,0.0,1.000000000000014,YFL039C
GO:0022413,reproductive process in single-celled organism,1.102941176470588,0.134,0.9999999999999938,YFL039C
GO:0009653,anatomical structure morphogenesis,1.070351758793969,0.511,0.9999999999999867,YFL039C
GO:0048468,cell development,1.1400000000000001,0.0,1.0000000000000007,YFL039C
