Used 2009 Datasets
Initialized Expression Datasets
Intersection: 0
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Train_/
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Test_/
Time for 100 Batches: 0.4028503735860189
100 Batch Cumulative Loss: 295.01845049858093
Time for 100 Batches: 0.4043608546257019
100 Batch Cumulative Loss: 299.38950181007385
Time for 100 Batches: 0.40352386633555093
100 Batch Cumulative Loss: 297.5292646884918
Time for 100 Batches: 0.40591901540756226
100 Batch Cumulative Loss: 297.29374957084656
Time for 100 Batches: 0.4023815115292867
100 Batch Cumulative Loss: 293.3324222564697
Time for 100 Batches: 0.39940864642461144
100 Batch Cumulative Loss: 302.2146713733673
Time for 100 Batches: 0.40638806025187174
100 Batch Cumulative Loss: 296.5290422439575
Time for 100 Batches: 0.39888842503229777
100 Batch Cumulative Loss: 297.6891505718231
Time for 100 Batches: 0.40682523250579833
100 Batch Cumulative Loss: 303.1161813735962
Time for 100 Batches: 0.41000089248021443
100 Batch Cumulative Loss: 295.6515166759491
Time for 100 Batches: 0.4043860634167989
100 Batch Cumulative Loss: 293.1811556816101
Time for 100 Batches: 0.40311318238576255
100 Batch Cumulative Loss: 297.5966377258301
Time for 100 Batches: 0.4064556082089742
100 Batch Cumulative Loss: 300.21986293792725
Time for 100 Batches: 0.4047166665395101
100 Batch Cumulative Loss: 296.1605558395386
Time for 100 Batches: 0.40435572862625124
100 Batch Cumulative Loss: 297.7710371017456
Time for 100 Batches: 0.40104421774546306
Began Testing the Network
Testing GO Term: GO:0000054 (0 / 53)
[['YJL010C' 'YGL099W']
 ['YJL010C' 'YIL063C']
 ['YJL010C' 'YDR267C']
 ['YJL010C' 'YGL097W']
 ['YJL010C' 'YLR022C']]
[['YKL008C' 'YGR038W']
 ['YDR322C-A' 'YKR086W']
 ['YHR191C' 'YGR091W']
 ['YOR144C' 'YBR154C']
 ['YHR016C' 'YJL111W']]
Sorted Data: [['YJL010C' 'YGL099W' 1 5.9357996]
 ['YGL099W' 'YLR022C' 1 4.8503237]
 ['YJL010C' 'YLR022C' 1 3.5078793]
 ['YGL099W' 'YDR267C' 1 3.1171575]
 ['YGL099W' 'YGL097W' 1 3.0400934]
 ['YFR028C' 'YOL041C' 0 2.953334]
 ['YMR079W' 'YJR007W' 0 2.7576234]
 ['YBL042C' 'YLR405W' 0 2.5994985]
 ['YJL010C' 'YGL097W' 1 2.185614]
 ['YJL010C' 'YDR267C' 1 2.1349754]
 ['YJL184W' 'YHR196W' 0 2.112074]
 ['YLR003C' 'YLR355C' 0 1.0522163]
 ['YGL097W' 'YLR022C' 1 1.0358095]
 ['YER118C' 'YKL018W' 0 1.02622]
 ['YOR173W' 'YKL213C' 0 0.85793674]
 ['YDR267C' 'YGL097W' 1 0.6447902]
 ['YDR119W' 'YAR014C' 0 0.54453826]
 ['YGR109C' 'YML022W' 0 0.40856183]
 ['YOR144C' 'YDL201W' 0 0.3072629]
 ['YDR267C' 'YLR022C' 1 -0.19839394]
 ['YGR090W' 'YIL129C' 0 -0.25800502]
 ['YNR023W' 'YNL075W' 0 -0.26426286]
 ['YHR134W' 'YBR079C' 0 -0.41250384]
 ['YML038C' 'YML007W' 0 -0.72787726]
 ['YIL127C' 'YDL122W' 0 -0.75824964]
 ['YJL159W' 'YIL010W' 0 -0.7707257]
 ['YBL042C' 'YDL092W' 0 -0.9225417]
 ['YGL099W' 'YIL063C' 1 -1.0143036]
 ['YBR210W' 'YLR274W' 0 -1.1732111]
 ['YER019W' 'YGR065C' 0 -1.1828923]
 ['YKL163W' 'YGR249W' 0 -1.249993]
 ['YJR043C' 'YPL037C' 0 -1.3141991]
 ['YOR144C' 'YBR154C' 0 -1.3753746]
 ['YKL188C' 'YPL212C' 0 -1.4736836]
 ['YMR030W' 'YGL179C' 0 -1.5246296]
 ['YJL010C' 'YIL063C' 1 -1.5698849]
 ['YLR332W' 'YDR541C' 0 -1.6326832]
 ['YKL091C' 'YPL088W' 0 -1.745084]
 ['YKL027W' 'YNL256W' 0 -1.8105433]
 ['YPL283C' 'YMR113W' 0 -1.8313538]
 ['YBR021W' 'YOR375C' 0 -1.8953907]
 ['YKL008C' 'YGR038W' 0 -1.9030867]
 ['YJL002C' 'YER073W' 0 -1.9274483]
 ['YBR019C' 'YNR063W' 0 -1.9476969]
 ['YBL105C' 'YER160C' 0 -1.9525074]
 ['YBR302C' 'YMR323W' 0 -1.9954222]
 ['YIL063C' 'YGL097W' 1 -2.0165505]
