Gene A,Gene B,Score
YDR258C,YDR337W,2.1058126335754155e-15
YDR258C,YGR165W,1.0739697514085415e-22
YDR258C,YBR251W,8.912598469930029e-22
YDR258C,YMR158W,2.9044454988915085e-22
YDR258C,YBR146W,3.6027864453957094e-23
YDR258C,YPL183W-A,7.426442152791424e-06
YDR258C,YCR046C,1.3884656974115039e-19
YDR258C,YCR071C,7.166267863119733e-19
YDR258C,YHR011W,1.6907056883370633e-16
YDR258C,YPL104W,1.322535137440994e-19
YDR258C,YNL137C,6.552572190489249e-27
YDR258C,YOL033W,1.7169286431199152e-26
YDR258C,YPR047W,1.1320185110168686e-19
YDR258C,YBL080C,1.0440720013758618e-16
YDR258C,YOR158W,1.425882630808972e-20
YDR258C,YLR139C,4.202743703182396e-15
YDR258C,YDR347W,1.048210895523722e-15
YDR258C,YDL045W-A,1.0422855467595582e-08
YDR258C,YNL073W,1.6392745314646397e-25
YDR258C,YGR084C,4.42836879495763e-19
YDR258C,YKL003C,2.4120429960951045e-15
YDR258C,YPR166C,2.854790570605559e-10
YDR258C,YDR405W,4.1649486166198764e-16
YKL053C-A,YHL004W,0.5020102262496948
YKL053C-A,YPL118W,0.9997246861457825
YKL053C-A,YNL005C,0.8962085843086243
YKL053C-A,YHR091C,0.06738151609897614
YKL053C-A,YLR069C,0.824430525302887
YKL053C-A,YDR116C,0.9841071367263794
YKL053C-A,YNL284C,0.9973211884498596
YKL053C-A,YDL202W,0.9999687671661377
YKL053C-A,YKR006C,0.999416708946228
YKL053C-A,YLR312W-A,0.9795235991477966
YKL053C-A,YBL038W,0.20908576250076294
YKL053C-A,YNL252C,0.9999759197235107
YKL053C-A,YNL185C,0.6742231249809265
YKL053C-A,YKL194C,0.002535645617172122
YKL053C-A,YKR085C,0.18675369024276733
YKL053C-A,YNL177C,0.4218254089355469
YKL053C-A,YOR150W,0.9415919780731201
YKL053C-A,YDR268W,0.997058629989624
YKL053C-A,YMR193W,0.9601448774337769
YKL053C-A,YGR076C,0.49210482835769653
YKL053C-A,YBR282W,0.001846976694650948
YKL053C-A,YNL081C,0.002653898671269417
YKL053C-A,YDR462W,0.15354523062705994
YKL053C-A,YMR024W,0.9967963099479675
YKL053C-A,YKL138C,0.9918040037155151
YKL053C-A,YCR003W,0.1649211049079895
YKL053C-A,YML025C,0.009966735728085041
YKL053C-A,YMR286W,0.014063078910112381
YKL053C-A,YDR322W,0.9997515082359314
YKL053C-A,YBR122C,0.9998738765716553
YKL053C-A,YBR268W,0.0009500277228653431
YKL053C-A,YKL170W,0.12869878113269806
YKL053C-A,YOR335C,0.0015251145232468843
YKL053C-A,YML009C,0.834500789642334
YKL053C-A,YBR121C,3.158219624310732e-05
YKL053C-A,YPL173W,0.9992548823356628
YKL053C-A,YMR225C,0.017671635374426842
YKL053C-A,YDR041W,0.9999449253082275
YKL053C-A,YJL096W,0.08155598491430283
YKL053C-A,YER050C,0.9999165534973145
YKL053C-A,YNR022C,0.8239970207214355
YKL053C-A,YNR037C,0.008032974787056446
YKL053C-A,YPR100W,0.004903727676719427
YKL053C-A,YKL155C,0.9275907874107361
YKL053C-A,YHR147C,0.7622857093811035
YKL053C-A,YGL129C,0.9672338962554932
YKL053C-A,YDR237W,0.8011741042137146
YKL053C-A,YDR175C,0.006102838087826967
YKL053C-A,YJL063C,0.47438979148864746
YKL053C-A,YIL093C,0.9419670104980469
YKL053C-A,YJR101W,0.00013254492660053074
YKL053C-A,YOL023W,0.17496591806411743
YKL053C-A,YGR215W,0.9368616938591003
YKL053C-A,YPL040C,0.954315721988678
YKL053C-A,YNR036C,0.012531324289739132
YKL053C-A,YMR282C,0.22122570872306824
YKL053C-A,YPL013C,0.815220296382904
YKL053C-A,YMR188C,0.9979255199432373
YKL053C-A,YJR113C,0.0157347172498703
YKL053C-A,YDR115W,0.00044466700637713075
YKL053C-A,YNL306W,0.059858810156583786
YKL053C-A,YDR337W,0.9999881982803345
YKL053C-A,YGR165W,0.4519291818141937
YKL053C-A,YBR251W,0.0002256023435620591
YKL053C-A,YMR158W,0.18481233716011047
YKL053C-A,YBR146W,0.8757136464118958
YKL053C-A,YPL183W-A,0.9999991655349731
YKL053C-A,YCR046C,0.05998128280043602
YKL053C-A,YCR071C,0.24897120893001556
YKL053C-A,YHR011W,0.16397248208522797
YKL053C-A,YPL104W,0.9303680658340454
YKL053C-A,YNL137C,0.5633456707000732
YKL053C-A,YOL033W,0.0009638710762374103
YKL053C-A,YPR047W,0.07485834509134293
YKL053C-A,YBL080C,0.15190953016281128
YKL053C-A,YOR158W,0.13644856214523315
YKL053C-A,YLR139C,0.004147899802774191
YKL053C-A,YDR347W,0.9974234104156494
YKL053C-A,YDL045W-A,0.9924152493476868
YKL053C-A,YNL073W,0.0015166287776082754
YKL053C-A,YGR084C,0.9179486632347107
