Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YJL094C,-1,8.347408129714893,151,3335,3092,5,0.4926325383563725,0.04331612162937464,0.967948717948718,0.5189046211296094,0.48109537887039056
YLR448W,-1,8.330074902407558,151,3336,3091,5,0.49248063193073066,0.04330369945511901,0.967948717948718,0.5190602147191535,0.4809397852808464
YOL163W,-1,8.328919742277753,151,3337,3090,5,0.4923287255050889,0.04329128440366972,0.967948717948718,0.5192158083086977,0.4807841916913023
YJR139C,-1,8.323050771130584,151,3338,3089,5,0.49217681907944705,0.043278876468902265,0.967948717948718,0.5193714018982418,0.48062859810175823
YJL137C,-1,8.316435235129147,151,3339,3088,5,0.49202491265380527,0.04326647564469914,0.967948717948718,0.5195269954877859,0.4804730045122141
YOL064C,-1,8.30722988140959,151,3340,3087,5,0.49187300622816343,0.04325408192494987,0.967948717948718,0.51968258907733,0.48031741092267
YPR043W,-1,8.295744448670314,151,3341,3086,5,0.49172109980252166,0.04324169530355097,0.967948717948718,0.5198381826668741,0.48016181733312585
YDL066W,-1,8.29352305561912,151,3342,3085,5,0.4915691933768798,0.04322931577440595,0.967948717948718,0.5199937762564182,0.48000622374358176
snR77,-1,8.285140531986132,151,3343,3084,5,0.49141728695123804,0.0432169433314253,0.967948717948718,0.5201493698459624,0.47985063015403767
YJL083W,-1,8.284720404847898,151,3344,3083,5,0.4912653805255962,0.04320457796852647,0.967948717948718,0.5203049634355065,0.4796950365644935
YMR020W,-1,8.263888452700655,151,3345,3082,5,0.49111347409995443,0.04319221967963387,0.967948717948718,0.5204605570250506,0.47953944297494944
YBL017C,-1,8.263855219526969,151,3346,3081,5,0.49096156767431265,0.04317986845867887,0.967948717948718,0.5206161506145947,0.47938384938540535
YPR164W,-1,8.260889030585613,151,3347,3080,5,0.4908096612486708,0.043167524299599774,0.967948717948718,0.5207717442041387,0.4792282557958612
YER143W,-1,8.234480754028354,151,3348,3079,5,0.49065775482302904,0.04315518719634181,0.967948717948718,0.5209273377936829,0.4790726622063171
YLR133W,-1,8.229790218836019,151,3349,3078,5,0.4905058483973872,0.04314285714285714,0.967948717948718,0.521082931383227,0.47891706861677297
YGR159C,-1,8.22391232149527,151,3350,3077,5,0.4903539419717454,0.043130534133104824,0.967948717948718,0.5212385249727711,0.4787614750272289
YBR183W,-1,8.219695972299371,151,3351,3076,5,0.4902020355461036,0.043118218161050825,0.967948717948718,0.5213941185623152,0.4786058814376848
YPL214C,-1,8.21486171805662,151,3352,3075,5,0.4900501291204618,0.043105909220667996,0.967948717948718,0.5215497121518593,0.47845028784814064
YNL230C,-1,8.202667262849243,151,3353,3074,5,0.48989822269482,0.043093607305936074,0.967948717948718,0.5217053057414035,0.47829469425859655
YPR035W,-1,8.201963297545134,151,3354,3073,5,0.4897463162691782,0.043081312410841656,0.967948717948718,0.5218608993309476,0.4781391006690524
YFL054C,-1,8.176422957636918,151,3355,3072,5,0.48959440984353636,0.043069024529378205,0.967948717948718,0.5220164929204917,0.4779835070795083
YOR316C,-1,8.175515428221548,151,3356,3071,5,0.4894425034178946,0.04305674365554605,0.967948717948718,0.5221720865100358,0.47782791348996423
YBR228W,-1,8.158961502342894,151,3357,3070,5,0.48929059699225275,0.043044469783352336,0.967948717948718,0.5223276800995799,0.4776723199004201
YOR090C,-1,8.155967305953967,151,3358,3069,5,0.48913869056661097,0.043032202906811055,0.967948717948718,0.5224832736891241,0.477516726310876
YPR128C,-1,8.153533540945928,151,3359,3068,5,0.4889867841409692,0.04301994301994302,0.967948717948718,0.5226388672786682,0.4773611327213319
YER095W,-1,8.152986878584496,151,3360,3067,5,0.48883487771532735,0.04300769011677585,0.967948717948718,0.5227944608682122,0.47720553913178776
YNL071W,-1,8.149234834027112,151,3361,3066,5,0.4886829712896856,0.04299544419134396,0.967948717948718,0.5229500544577563,0.47704994554224367
YOL013C,-1,8.148691601399925,151,3362,3065,5,0.48853106486404374,0.04298320523768859,0.967948717948718,0.5231056480473004,0.4768943519526995
YPR005C,-1,8.14146938191982,151,3363,3064,5,0.48837915843840196,0.042970973249857713,0.967948717948718,0.5232612416368445,0.47673875836315543
YPL061W,-1,8.130833835039033,151,3364,3063,5,0.4882272520127601,0.042958748221906116,0.967948717948718,0.5234168352263887,0.47658316477361135
YER091C,-1,8.120509278472296,151,3365,3062,5,0.48807534558711835,0.04294653014789534,0.967948717948718,0.5235724288159328,0.4764275711840672
YDL188C,-1,8.109662026636654,151,3366,3061,5,0.4879234391614765,0.04293431902189366,0.967948717948718,0.5237280224054769,0.4762719775945231
YER098W,-1,8.089035332458822,151,3367,3060,5,0.48777153273583473,0.04292211483797612,0.967948717948718,0.523883615995021,0.476116384004979
YMR165C,-1,8.088596320107944,151,3368,3059,5,0.4876196263101929,0.04290991759022449,0.967948717948718,0.5240392095845651,0.4759607904154349
YOR347C,-1,8.076052770914103,151,3369,3058,5,0.4874677198845511,0.042897727272727275,0.967948717948718,0.5241948031741093,0.4758051968258908
YCR009C,-1,8.069428280719533,151,3370,3057,5,0.4873158134589093,0.042885543879579664,0.967948717948718,0.5243503967636534,0.47564960323634664
YDR479C,-1,8.057811333030285,151,3371,3056,5,0.4871639070332675,0.04287336740488359,0.967948717948718,0.5245059903531974,0.47549400964680255
YDR512C,-1,8.05324220616801,151,3372,3055,5,0.48701200060762573,0.04286119784274766,0.967948717948718,0.5246615839427415,0.47533841605725846
YNL265C,-1,8.051705672400496,151,3373,3054,5,0.4868600941819839,0.04284903518728717,0.967948717948718,0.5248171775322856,0.4751828224677143
YOR071C,-1,8.051347027120796,151,3374,3053,5,0.4867081877563421,0.04283687943262411,0.967948717948718,0.5249727711218298,0.4750272288781702
YJL108C,-1,8.048239716819737,151,3375,3052,5,0.4865562813307003,0.042824730572887125,0.967948717948718,0.5251283647113739,0.4748716352886261
YML132W,-1,8.043180291832885,151,3376,3051,5,0.4864043749050585,0.04281258860221151,0.967948717948718,0.525283958300918,0.474716041699082
YDR432W,-1,8.04301482647494,151,3377,3050,5,0.48625246847941667,0.042800453514739226,0.967948717948718,0.5254395518904621,0.4745604481095379
YGL180W,-1,8.040194613301056,151,3378,3049,5,0.4861005620537749,0.042788325304618874,0.967948717948718,0.5255951454800062,0.47440485451999376
YBR180W,-1,8.031166896819865,151,3379,3048,5,0.48594865562813305,0.04277620396600566,0.967948717948718,0.5257507390695504,0.47424926093044967
tS(GCU)L,-1,8.029416895235347,151,3380,3047,5,0.4857967492024913,0.04276408949306146,0.967948717948718,0.5259063326590945,0.4740936673409056
YNL283C,-1,8.027871426898642,151,3381,3046,5,0.48564484277684944,0.0427519818799547,0.967948717948718,0.5260619262486386,0.47393807375136143
YKL008C,-1,8.017358397854235,151,3382,3045,5,0.48549293635120766,0.04273988112086046,0.967948717948718,0.5262175198381827,0.47378248016181734
YFL005W,-1,8.014879198500516,151,3383,3044,5,0.4853410299255658,0.042727787209960386,0.967948717948718,0.5263731134277267,0.4736268865722732
YML092C,-1,8.00560950212442,151,3384,3043,5,0.48518912349992405,0.042715700141442714,0.967948717948718,0.5265287070172708,0.4734712929827291
YDR410C,-1,8.004450408216863,151,3385,3042,5,0.48503721707428227,0.04270361990950226,0.967948717948718,0.526684300606815,0.473315699393185
YDL078C,-1,7.994754313627637,151,3386,3041,5,0.48488531064864043,0.0426915465083404,0.967948717948718,0.5268398941963591,0.4731601058036409
YDR513W,-1,7.983129669208846,151,3387,3040,5,0.48473340422299865,0.04267947993216507,0.967948717948718,0.5269954877859032,0.4730045122140968
YLL062C,-1,7.983061057846229,151,3388,3039,5,0.4845814977973568,0.042667420175190734,0.967948717948718,0.5271510813754473,0.4728489186245527
YER160C,-1,7.982863026814555,151,3389,3038,5,0.48442959137171504,0.042655367231638416,0.967948717948718,0.5273066749649914,0.47269332503500855
YPL133C,-1,7.981542074554119,151,3390,3037,5,0.4842776849460732,0.04264332109573567,0.967948717948718,0.5274622685545356,0.47253773144546446
YBL041W,-1,7.9748760572075765,151,3391,3036,5,0.4841257785204314,0.042631281761716544,0.967948717948718,0.5276178621440797,0.4723821378559203
YJL042W,-1,7.971088759764192,151,3392,3035,5,0.4839738720947896,0.04261924922382162,0.967948717948718,0.5277734557336238,0.4722265442663762
YOR356W,-1,7.958332846322808,151,3393,3034,5,0.4838219656691478,0.042607223476297966,0.967948717948718,0.5279290493231679,0.47207095067683214
YAL020C,-1,7.956152549989007,151,3394,3033,5,0.483670059243506,0.042595204513399154,0.967948717948718,0.528084642912712,0.471915357087288
YPR122W,-1,7.938531588427628,151,3395,3032,5,0.4835181528178642,0.04258319232938522,0.967948717948718,0.5282402365022562,0.4717597634977439
YDR255C,-1,7.9339854641287095,151,3396,3031,5,0.48336624639222237,0.04257118691852269,0.967948717948718,0.5283958300918002,0.47160416990819976
YER141W,-1,7.931114790064261,151,3397,3030,5,0.4832143399665806,0.04255918827508456,0.967948717948718,0.5285514236813443,0.47144857631865567
YGR175C,-1,7.931089483810544,151,3398,3029,5,0.4830624335409388,0.04254719639335024,0.967948717948718,0.5287070172708884,0.4712929827291116
YLR370C,-1,7.929766132336738,151,3399,3028,5,0.482910527115297,0.042535211267605635,0.967948717948718,0.5288626108604325,0.47113738913956743
YLR208W,-1,7.910039149547123,151,3400,3027,5,0.4827586206896552,0.042523232892143055,0.967948717948718,0.5290182044499767,0.47098179555002334
YOR358W,-1,7.900998011564333,151,3401,3026,5,0.48260671426401336,0.042511261261261264,0.967948717948718,0.5291737980395208,0.47082620196047925
YIL119C,-1,7.897043223715923,151,3402,3025,5,0.4824548078383716,0.04249929636926541,0.967948717948718,0.5293293916290649,0.4706706083709351
YIL010W,-1,7.892083850032229,151,3403,3024,5,0.48230290141272975,0.04248733821046708,0.967948717948718,0.529484985218609,0.470515014781391
YKL095W,-1,7.889796681709069,151,3404,3023,5,0.48215099498708797,0.04247538677918425,0.967948717948718,0.5296405788081531,0.47035942119184687
YNR007C,-1,7.875116899434075,151,3405,3022,5,0.48199908856144613,0.04246344206974128,0.967948717948718,0.5297961723976972,0.4702038276023028
YLL056C,-1,7.861155619514322,151,3406,3021,5,0.48184718213580435,0.042451504076468936,0.967948717948718,0.5299517659872414,0.4700482340127587
YGR284C,-1,7.860940924035313,151,3407,3020,5,0.4816952757101625,0.042439572793704326,0.967948717948718,0.5301073595767855,0.46989264042321455
YBR085W,-1,7.853787452257622,151,3408,3019,5,0.48154336928452074,0.04242764821579095,0.967948717948718,0.5302629531663295,0.46973704683367046
